timestamp,open,high,low,close
1277577180000,1254.82,1254.82,1254.82,1254.82
1277577240000,1254.82,1254.82,1254.82,1254.82
1277577300000,1254.82,1254.82,1254.82,1254.82
1277577360000,1254.82,1254.82,1254.82,1254.82
1277577420000,1254.82,1254.82,1254.82,1254.82
1277577480000,1254.82,1254.82,1254.82,1254.82
1277577540000,1254.82,1254.82,1254.82,1254.82
1277577600000,1254.82,1254.82,1254.82,1254.82
1277577660000,1254.82,1254.82,1254.82,1254.82
1277577720000,1254.82,1254.82,1254.82,1254.82
1277577780000,1254.82,1254.82,1254.82,1254.82
1277577840000,1254.82,1254.82,1254.82,1254.82
1277577900000,1254.82,1254.82,1254.82,1254.82
1277577960000,1254.82,1254.82,1254.82,1254.82
1277578020000,1254.82,1254.82,1254.82,1254.82
1277578080000,1254.82,1254.82,1254.82,1254.82
1277578140000,1254.82,1254.82,1254.82,1254.82
1277578200000,1254.82,1254.82,1254.82,1254.82
1277578260000,1254.82,1254.82,1254.82,1254.82
1277578320000,1254.82,1254.82,1254.82,1254.82
1277578380000,1254.82,1254.82,1254.82,1254.82
1277578440000,1254.82,1254.82,1254.82,1254.82
1277578500000,1254.82,1254.82,1254.82,1254.82
1277578560000,1254.82,1254.82,1254.82,1254.82
1277578620000,1254.82,1254.82,1254.82,1254.82
1277578680000,1254.82,1254.82,1254.82,1254.82
1277578740000,1254.82,1254.82,1254.82,1254.82
1277578800000,1254.82,1254.82,1254.82,1254.82
1277578860000,1254.82,1254.82,1254.82,1254.82
1277578920000,1254.82,1254.82,1254.82,1254.82
1277578980000,1254.82,1254.82,1254.82,1254.82
1277579040000,1254.82,1254.82,1254.82,1254.82
1277579100000,1254.82,1254.82,1254.82,1254.82
1277579160000,1254.82,1254.82,1254.82,1254.82
1277579220000,1254.82,1254.82,1254.82,1254.82
1277579280000,1254.82,1254.82,1254.82,1254.82
1277579340000,1254.82,1254.82,1254.82,1254.82
1277579400000,1254.82,1254.82,1254.82,1254.82
1277579460000,1254.82,1254.82,1254.82,1254.82
1277579520000,1254.82,1254.82,1254.82,1254.82
1277579580000,1254.82,1254.82,1254.82,1254.82
1277579640000,1254.82,1254.82,1254.82,1254.82
1277579700000,1254.82,1254.82,1254.82,1254.82
1277579760000,1254.82,1254.82,1254.82,1254.82
1277579820000,1254.82,1254.82,1254.82,1254.82
1277579880000,1254.82,1254.82,1254.82,1254.82
1277579940000,1254.82,1254.82,1254.82,1254.82
1277580000000,1254.82,1254.82,1254.82,1254.82
1277580060000,1254.82,1254.82,1254.82,1254.82
1277580120000,1254.82,1254.82,1254.82,1254.82
1277580180000,1254.82,1254.82,1254.82,1254.82
1277580240000,1254.82,1254.82,1254.82,1254.82
1277580300000,1254.82,1254.82,1254.82,1254.82
1277580360000,1254.82,1254.82,1254.82,1254.82
1277580420000,1254.82,1254.82,1254.82,1254.82
1277580480000,1254.82,1254.82,1254.82,1254.82
1277580540000,1254.82,1254.82,1254.82,1254.82
1277580600000,1254.82,1254.82,1254.82,1254.82
1277580660000,1254.82,1254.82,1254.82,1254.82
1277580720000,1254.82,1254.82,1254.82,1254.82
1277580780000,1254.82,1254.82,1254.82,1254.82
1277580840000,1254.82,1254.82,1254.82,1254.82
1277580900000,1254.82,1254.82,1254.82,1254.82
1277580960000,1254.82,1254.82,1254.82,1254.82
1277581020000,1254.82,1254.82,1254.82,1254.82
1277581080000,1254.82,1254.82,1254.82,1254.82
1277581140000,1254.82,1254.82,1254.82,1254.82
1277581200000,1254.82,1254.82,1254.82,1254.82
1277581260000,1254.82,1254.82,1254.82,1254.82
1277581320000,1254.82,1254.82,1254.82,1254.82
